float_id,time,depth_dbar,temperature_C,salinity_psu
b'1902453 ',2025-09-22 02:10:55.000228864,160.0,15.13,35.053
b'1902453 ',2025-09-22 02:10:55.000228864,162.0,14.934,35.054
b'1902453 ',2025-09-22 02:10:55.000228864,164.0,14.848,35.046
b'1902453 ',2025-09-22 02:10:55.000228864,166.0,14.826,35.042
b'1902453 ',2025-09-22 02:10:55.000228864,168.0,14.798,35.037
b'1902453 ',2025-09-22 02:10:55.000228864,170.0,14.659,35.026
b'1902453 ',2025-09-22 02:10:55.000228864,172.0,14.369,35.02
b'1902453 ',2025-09-22 02:10:55.000228864,174.0,14.265,35.021
b'1902453 ',2025-09-22 02:10:55.000228864,176.0,14.198,35.022
b'1902453 ',2025-09-22 02:10:55.000228864,178.0,14.171,35.024
b'1902453 ',2025-09-22 02:10:55.000228864,180.0,14.125,35.037
b'1902453 ',2025-09-22 02:10:55.000228864,182.0,14.077,35.049
b'1902453 ',2025-09-22 02:10:55.000228864,184.0,14.028,35.062
b'1902453 ',2025-09-22 02:10:55.000228864,186.0,13.904,35.064
b'1902453 ',2025-09-22 02:10:55.000228864,188.0,13.801,35.061
b'1902453 ',2025-09-22 02:10:55.000228864,190.0,13.784,35.061
b'1902453 ',2025-09-22 02:10:55.000228864,192.0,13.769,35.062
b'1902453 ',2025-09-22 02:10:55.000228864,194.0,13.735,35.06
b'1902453 ',2025-09-22 02:10:55.000228864,196.0,13.637,35.057
b'1902453 ',2025-09-22 02:10:55.000228864,198.1,13.61,35.057
b'1902453 ',2025-09-22 02:10:55.000228864,200.1,13.588,35.057
b'1902453 ',2025-09-22 02:10:55.000228864,202.0,13.572,35.063
b'1902453 ',2025-09-22 02:10:55.000228864,203.9,13.512,35.065
b'1902453 ',2025-09-22 02:10:55.000228864,206.0,13.485,35.063
b'1902453 ',2025-09-22 02:10:55.000228864,208.0,13.406,35.06
b'1902453 ',2025-09-22 02:10:55.000228864,210.0,13.311,35.055
b'1902453 ',2025-09-22 02:10:55.000228864,212.0,13.277,35.052
b'1902453 ',2025-09-22 02:10:55.000228864,214.0,13.263,35.05
b'1902453 ',2025-09-22 02:10:55.000228864,216.0,13.186,35.047
b'1902453 ',2025-09-22 02:10:55.000228864,218.0,13.125,35.043
b'1902453 ',2025-09-22 02:10:55.000228864,220.0,12.96,35.042
b'1902453 ',2025-09-22 02:10:55.000228864,222.0,12.882,35.04
b'1902453 ',2025-09-22 02:10:55.000228864,224.0,12.87,35.039
b'1902453 ',2025-09-22 02:10:55.000228864,226.0,12.853,35.039
b'1902453 ',2025-09-22 02:10:55.000228864,228.0,12.787,35.035
b'1902453 ',2025-09-22 02:10:55.000228864,230.0,12.763,35.034
